ds,city,yhat,yhat_lower,yhat_upper
2025-07-15 13:00:00,Araria,45.31,45.30999994138802,45.310000058794955
2025-07-15 22:00:00,Araria,45.31,45.309999943710125,45.31000005602767
2025-07-15 23:00:00,Araria,45.31,45.30999994226011,45.31000005710897
2025-07-16 00:00:00,Araria,45.31,45.30999993449722,45.310000065059285
2025-07-16 01:00:00,Araria,45.31,45.309999929490374,45.31000006859863
2025-07-16 02:00:00,Araria,45.31,45.309999902965075,45.310000085922304
2025-07-16 03:00:00,Araria,45.31,45.30999988144418,45.310000112013206
2025-07-16 04:00:00,Araria,45.31,45.30999982127093,45.3100001524442
2025-07-16 05:00:00,Araria,45.31,45.30999976659804,45.310000199985105
2025-07-16 06:00:00,Araria,45.31,45.309999691538245,45.31000026816678
2025-07-16 07:00:00,Araria,45.31,45.30999963378042,45.31000031234586
2025-07-16 08:00:00,Araria,45.31,45.309999537785615,45.31000038401403
2025-07-16 09:00:00,Araria,45.31,45.309999436644574,45.31000048935171
2025-07-16 10:00:00,Araria,45.31,45.309999344354615,45.31000055361792
2025-07-16 11:00:00,Araria,45.31,45.309999246945445,45.31000063370927
2025-07-16 12:00:00,Araria,45.31,45.309999136943304,45.3100007274056
2025-07-16 13:00:00,Araria,45.31,45.30999906528229,45.31000085591966
2025-07-16 14:00:00,Araria,45.31,45.30999896422429,45.310000942955405
2025-07-16 15:00:00,Araria,45.31,45.30999882991838,45.310001054285614
2025-07-16 16:00:00,Araria,45.31,45.30999872045896,45.31000118824947
2025-07-16 17:00:00,Araria,45.31,45.30999861164383,45.310001282627645
2025-07-16 18:00:00,Araria,45.31,45.30999845174999,45.31000135951599
2025-07-16 19:00:00,Araria,45.31,45.3099983108658,45.31000151171957
2025-07-16 20:00:00,Araria,45.31,45.30999823980582,45.310001588386385
2025-07-16 21:00:00,Araria,45.31,45.30999810922061,45.31000166003334
2025-07-16 22:00:00,Araria,45.31,45.30999795301221,45.31000177778269
2025-07-16 23:00:00,Araria,45.31,45.309997816969805,45.310001954679535
2025-07-17 00:00:00,Araria,45.31,45.30999772319862,45.31000210818918
2025-07-17 01:00:00,Araria,45.31,45.30999754816082,45.310002229161675
2025-07-17 02:00:00,Araria,45.31,45.30999736761029,45.3100023250463
2025-07-17 03:00:00,Araria,45.31,45.309997234445916,45.31000247711901
2025-07-17 04:00:00,Araria,45.31,45.30999714489103,45.31000262618298
2025-07-17 05:00:00,Araria,45.31,45.30999694180074,45.310002768716416
2025-07-17 06:00:00,Araria,45.31,45.309996716538556,45.31000289146697
2025-07-17 07:00:00,Araria,45.31,45.309996559925715,45.31000317876577
2025-07-17 08:00:00,Araria,45.31,45.30999642383046,45.3100032347639
2025-07-17 09:00:00,Araria,45.31,45.309996240296655,45.310003384379414
2025-07-17 10:00:00,Araria,45.31,45.30999604485194,45.310003516135495
2025-07-17 11:00:00,Araria,45.31,45.309995871597124,45.31000369311013
2025-07-17 12:00:00,Araria,45.31,45.309995760639374,45.31000383255939
2025-07-17 13:00:00,Araria,45.31,45.309995629937056,45.31000405371887
2025-07-17 14:00:00,Araria,45.31,45.30999556073612,45.31000416751633
